customer_id,name,email,join_date,loyalty_points,region
CUST00001,Diane Nixon,johnsonjeremy@example.net,5/22/2023,5987,WEST
CUST00002,Sabrina Wright,zoe62@example.com,11/4/2024,20382,CENTRAL
CUST00003,Stephen Pacheco,mbraun@example.org,9/3/2021,21640,EAST
CUST00004,Veronica Petty,marcjenkins@example.org,5/30/2023,46332,EAST
CUST00005,Tamara Miles,zhernandez@example.net,5/12/2023,46595,CENTRAL
CUST00006,Michael Gaines,hramirez@example.net,11/20/2021,39030,CENTRAL
CUST00007,Angel Lucero,epennington@example.net,10/26/2025,6282,WEST
CUST00008,Christina Mitchell,ambersims@example.org,4/26/2023,47280,EAST
CUST00009,Patrick Cruz,april56@example.org,2/22/2023,32563,WEST
CUST00010,Sean Davis,lisa76@example.net,6/18/2022,44364,NORTH
CUST00011,Micheal Martinez,williamsamanda@example.com,3/12/2023,31398,CENTRAL
CUST00012,Vanessa Roberts,melissawarner@example.net,3/21/2024,32522,NORTH
CUST00013,Charles Johnson,jamesashley@example.com,1/13/2024,41708,SOUTH
CUST00014,Toni Jackson MD,wwoodard@example.org,2/16/2021,13450,EAST
CUST00015,Mary Mcclure,katrina04@example.com,1/8/2022,23393,EAST
CUST00016,James Hill,kristyleblanc@example.net,9/24/2024,34246,SOUTH
CUST00017,Karen Brown,lfleming@example.com,11/25/2024,35336,NORTH
CUST00018,Lisa Lopez,uwalker@example.com,5/15/2021,32565,NORTH
CUST00019,Kellie Richardson,tiffany79@example.com,3/1/2023,235,SOUTH
CUST00020,Mitchell Ruiz,psantos@example.com,4/23/2022,39425,SOUTH
CUST00021,Rebecca Pineda,lfrancis@example.org,9/20/2023,26897,NORTH
CUST00022,Kristopher Sims,jean34@example.org,8/28/2023,5800,EAST
CUST00023,David Harris,serranojeanne@example.org,2/15/2025,2950,EAST
CUST00024,Megan Higgins,rangellaura@example.com,4/13/2021,36574,EAST
CUST00025,Aaron Barrett,tina54@example.net,7/24/2023,11391,EAST
CUST00026,Brian Sampson,wmartinez@example.org,5/25/2022,31063,SOUTH
CUST00027,Thomas Gallagher,harrisdenise@example.org,4/28/2024,2148,CENTRAL
CUST00028,Kimberly Robbins,arthur26@example.org,7/17/2024,12313,SOUTH
CUST00029,Kaitlyn Taylor,gail33@example.net,6/24/2022,4084,EAST
CUST00030,Jeremy Richmond,mathew11@example.com,10/23/2025,27691,EAST
CUST00031,Justin Horton,oramirez@example.com,12/26/2021,40133,SOUTH
CUST00032,Valerie Tran,jwiley@example.net,8/13/2022,11379,EAST
CUST00033,Katherine Allison,michellerios@example.net,10/2/2021,47366,SOUTH
CUST00034,Karen Flores,johnballard@example.com,6/13/2025,19118,EAST
CUST00035,David Davis,rebecca42@example.net,9/6/2024,16754,SOUTH
CUST00036,Elaine Ali,vchang@example.com,6/20/2021,44594,WEST
CUST00037,David Roth,cynthia89@example.net,3/6/2024,14605,SOUTH
CUST00038,Angela Smith,tskinner@example.com,10/28/2022,42742,SOUTH
CUST00039,John Hall,brianlewis@example.com,7/19/2022,4583,NORTH
CUST00040,Albert Chen,jmclean@example.com,9/12/2025,18074,CENTRAL
CUST00041,Nicole Estrada,youngscott@example.org,5/18/2022,27971,WEST
CUST00042,Joshua Green,baileymichelle@example.net,5/24/2021,16830,EAST
CUST00043,Shannon Wells,stanleymonica@example.net,12/1/2021,14121,EAST
CUST00044,Thomas Mendez,kelly41@example.com,12/15/2022,34,CENTRAL
CUST00045,Travis Smith,rpeterson@example.com,5/22/2023,44191,NORTH
CUST00046,Robert Barry,barnesjustin@example.net,2/3/2025,6063,WEST
CUST00047,Rachel Mitchell,suzanne40@example.com,8/19/2024,49519,WEST
CUST00048,Andrew White,pmora@example.org,9/1/2025,36582,CENTRAL
CUST00049,James Robinson,janicemurphy@example.org,4/1/2022,36399,SOUTH
CUST00050,Joseph Johnson,rick14@example.org,1/5/2025,23050,WEST
CUST00051,Michael Green MD,timothy89@example.net,10/6/2024,1700,CENTRAL
CUST00052,Taylor Lewis,christopherharrison@example.org,3/16/2025,32339,EAST
CUST00053,Robert Cole,connor27@example.com,3/19/2021,40942,NORTH
CUST00054,Lindsay Wolf,madams@example.com,9/2/2022,15522,NORTH
CUST00055,Kenneth Cummings,austin80@example.net,9/3/2025,40134,WEST
CUST00056,Jon Ramirez,rjames@example.com,12/4/2023,19911,WEST
CUST00057,Lauren Wade,smithchristopher@example.org,2/5/2024,34331,EAST
CUST00058,David Thomas,terri58@example.com,3/7/2025,21701,CENTRAL
CUST00059,Angel Strickland,davisjeremiah@example.com,1/5/2022,30257,EAST
CUST00060,Emily Bowman,martinezsusan@example.net,2/22/2024,4001,SOUTH
CUST00061,Alexis Green,olopez@example.org,10/6/2022,31415,CENTRAL
CUST00062,Alexis Smith,kharmon@example.com,12/22/2020,45425,EAST
CUST00063,Natasha Smith,bedwards@example.com,6/2/2021,18581,SOUTH
CUST00064,Douglas Lewis,beverly79@example.org,12/5/2024,18253,NORTH
CUST00065,Jasmine Ellis,bspencer@example.org,8/5/2023,24075,EAST
CUST00066,Timothy Carter,johnsmith@example.org,12/11/2021,15299,WEST
CUST00067,Kathleen Anderson,brenda23@example.net,7/4/2024,6896,EAST
CUST00068,Christopher Anderson,fmiller@example.net,8/15/2025,21447,EAST
CUST00069,Joan Chandler,rodgersmichelle@example.net,10/27/2023,35753,CENTRAL
CUST00070,Erin Avila,ihamilton@example.com,12/2/2021,45581,WEST
CUST00071,Shawn Glenn,fosterjason@example.org,12/23/2022,18244,SOUTH
CUST00072,Tara Levy,gwalker@example.net,1/10/2021,18842,CENTRAL
CUST00073,Roberto Morrison,scott37@example.net,10/17/2023,5056,NORTH
CUST00074,Hannah Taylor,yhutchinson@example.net,8/21/2024,19511,SOUTH
CUST00075,Bryan Wright,patriciamcguire@example.org,1/19/2023,2886,EAST
CUST00076,Stacey Watts,martindanielle@example.net,3/19/2021,45839,WEST
CUST00077,Susan Taylor,walter41@example.net,12/22/2022,9987,CENTRAL
CUST00078,Lisa Byrd,awang@example.org,12/17/2022,13825,WEST
CUST00079,William Chase,kristina97@example.com,11/23/2021,28215,CENTRAL
CUST00080,Megan Rogers,jeremy97@example.net,4/14/2025,4328,EAST
CUST00081,Ann Hansen,hodgejohn@example.net,1/1/2023,40518,SOUTH
CUST00082,Michelle Mitchell,jared34@example.net,2/25/2024,10427,WEST
CUST00083,Thomas Curtis Jr.,egarcia@example.org,3/30/2021,36573,CENTRAL
CUST00084,Jennifer Gomez,mary38@example.net,2/13/2025,35535,NORTH
CUST00085,Tyler Bowen,dennis59@example.com,6/23/2022,24357,SOUTH
CUST00086,Bradley Dixon,bethany40@example.net,1/8/2021,11265,SOUTH
CUST00087,Barbara Phelps,lthompson@example.com,4/24/2021,17204,NORTH
CUST00088,Olivia Garcia,njohnson@example.net,4/16/2021,39748,EAST
CUST00089,Jonathan Hicks,heidi61@example.org,5/30/2025,7173,WEST
CUST00090,Carly Henderson,kennethjohnson@example.com,10/7/2023,4712,EAST
CUST00091,Connor Lynch,ymcbride@example.com,6/25/2025,12897,EAST
CUST00092,Rachel Morgan,snelson@example.com,2/26/2021,36524,CENTRAL
CUST00093,Pamela Rasmussen,rickychoi@example.org,11/2/2024,5791,CENTRAL
CUST00094,Pamela Hernandez,feliciarobinson@example.net,12/25/2020,41976,WEST
CUST00095,Monica Campos,tnguyen@example.com,4/23/2022,17225,NORTH
CUST00096,Regina Gonzales,dboyle@example.org,11/17/2021,7446,EAST
CUST00097,Cody Thomas,andrew11@example.org,5/3/2025,17192,CENTRAL
CUST00098,Todd Ashley,royadam@example.net,5/16/2022,9432,EAST
CUST00099,Doris Taylor,ebell@example.com,1/2/2024,28666,EAST
CUST00100,Brenda Walton,ericwilson@example.org,5/3/2025,21991,CENTRAL
